url,youtube_id,thumbnail,singer,title_korean,title_english,description,hotness,cheesiness,english_percentage,english_subtitle,official,upload_date,youtube_views,upvotes,downvotes
https://www.youtube.com/watch?v=ASO_zypdnsQ,ASO_zypdnsQ,http://img.youtube.com/vi/ASO_zypdnsQ/0.jpg,Psy,PSY - GENTLEMAN M/V ,Gentleman,,7,0,40%,FALSE,TRUE,4/13/2013,"828,116,035","3,273,085","635,479"
https://www.youtube.com/watch?v=hfXZ6ydgZyo,hfXZ6ydgZyo,http://img.youtube.com/vi/hfXZ6ydgZyo/0.jpg,EXID,[EXID(이엑스아이디)] '위아래' (UP&DOWN),Up & Down,,6,0,10%,FALSE,TRUE,8/26/2014,"18,894,493","78,412","6,852"
https://www.youtube.com/watch?v=AAbokV76tkU,AAbokV76tkU,http://img.youtube.com/vi/AAbokV76tkU/0.jpg,Big Bang,BIGBANG - FANTASTIC BABY M/V ,Fantastic Baby,,9,0,0%,FALSE,TRUE,3/6/2012,"145,369,044","695,776","39,294"
https://www.youtube.com/watch?v=DMNcXwxQA7Q,DMNcXwxQA7Q,http://img.youtube.com/vi/DMNcXwxQA7Q/0.jpg,Girls' Generation,Girls' Generation 소녀시대_'Mr.Mr.' Dance Practice ver. ,Mr.Mr.,,7,0,30%,FALSE,TRUE,3/30/2014,"17,661,291","149,326","6,961"
https://www.youtube.com/watch?v=HkMNOlYcpHg,HkMNOlYcpHg,http://img.youtube.com/vi/HkMNOlYcpHg/0.jpg,Psy,PSY - HANGOVER feat. Snoop Dogg M/V ,Hangover,,6,0,60%,FALSE,TRUE,6/8/2014,"196,335,802","1,094,165","388,482"
https://www.youtube.com/watch?v=TGbwL8kSpEk,TGbwL8kSpEk,http://img.youtube.com/vi/TGbwL8kSpEk/0.jpg,Girls' Generation,Girls' Generation(소녀시대) _ Oh! _ MusicVideo ,Oh!,,8,0,0%,FALSE,TRUE,1/26/2010,"81,581,103","237,428","18,282"
https://www.youtube.com/watch?v=TI0DGvqKZTI,TI0DGvqKZTI,http://img.youtube.com/vi/TI0DGvqKZTI/0.jpg,EXO-K,EXO-K_중독(Overdose)_Music Video ,Overdose,,3,0,0%,FALSE,TRUE,5/6/2014,"60,096,182","501,065","26,238"
https://www.youtube.com/watch?v=m8MfJg68oCs,m8MfJg68oCs,http://img.youtube.com/vi/m8MfJg68oCs/0.jpg,BTS,[MV] BTS(방탄소년단) _ Boy In Luv(상남자) ,Boy In Luv,,3,0,0%,TRUE,TRUE,2/11/2014,"15,902,546","138,385","2,628"
https://www.youtube.com/watch?v=JFgv8bKfxEs,JFgv8bKfxEs,http://img.youtube.com/vi/JFgv8bKfxEs/0.jpg,Red Valvet,Red Velvet 레드벨벳_행복(Happiness)_Music Video ,Happiness,,6,7,0%,FALSE,TRUE,8/3/2014,"16,533,803","145,956","27,337"
https://www.youtube.com/watch?v=2eZHdYWhd-E,2eZHdYWhd-E,http://img.youtube.com/vi/2eZHdYWhd-E/0.jpg,Crayon Pop,Crayon Pop - Bar Bar Bar (Global Version) ,Bar Bar Bar,,2,8,30%,FALSE,TRUE,9/8/2013,"8,668,660","49,094","10,922"
https://www.youtube.com/watch?v=Y-FhDScM_2w,Y-FhDScM_2w,http://img.youtube.com/vi/Y-FhDScM_2w/0.jpg,SoYou,소유(SoYou) X 정기고(JunggiGo) - 썸(Some) feat. 긱스 릴보이 (Lil Boi of Geeks) M/V ,Some,,2,4,10%,TRUE,TRUE,2/6/2014,"20,270,646","115,145","2,424"
https://www.youtube.com/watch?v=SVgkNW2cENQ,SVgkNW2cENQ,http://img.youtube.com/vi/SVgkNW2cENQ/0.jpg,EXID,EXID _ Every night(매일밤) MV ,Every Night,,7,1,10%,FALSE,TRUE,10/3/2012,"13,823,695","72,268","3,407"
https://www.youtube.com/watch?v=fqR2HGkjFCA,fqR2HGkjFCA,http://img.youtube.com/vi/fqR2HGkjFCA/0.jpg,Girl's Day,GIRL'S DAY - EXPECTATION(기대해) DANCE VER ,Expectation,,9,1,0%,FALSE,TRUE,3/17/2013,"6,665,864","33,067","1,267"
https://www.youtube.com/watch?v=8OAQ6RuYFGE,8OAQ6RuYFGE,http://img.youtube.com/vi/8OAQ6RuYFGE/0.jpg,Big Bang,BIGBANG - HARU HARU (하루하루) M/V ,Haru Haru,,2,0,0%,FALSE,TRUE,8/26/2009,"5,649,976","35,466",587
https://www.youtube.com/watch?v=cQ6xU7SSEn4,cQ6xU7SSEn4,http://img.youtube.com/vi/cQ6xU7SSEn4/0.jpg,2NE1,"2NE1 - ""멘붕(MTBD)"" LIVE PERFORMANCE ",MTBD,,5,0,0%,FALSE,TRUE,3/13/2014,"7,530,995","73,305","3,891"
https://www.youtube.com/watch?v=X6XXia5B2Wg,X6XXia5B2Wg,http://img.youtube.com/vi/X6XXia5B2Wg/0.jpg,SISTAR19,SISTAR19(씨스타19) - Ma Boy Music Video ,Ma Boy,,7,2,10%,FALSE,TRUE,5/2/2011,"44,519,517",,
https://www.youtube.com/watch?v=tXV7dfvSefo,tXV7dfvSefo,http://img.youtube.com/vi/tXV7dfvSefo/0.jpg,Busker Busker,버스커 버스커 (Busker Busker) - 벚꽃 엔딩 ,Cherry Ending,,0,7,0%,FALSE,TRUE,,,,
https://www.youtube.com/watch?v=NCQpzHPYRUc,NCQpzHPYRUc,http://img.youtube.com/vi/NCQpzHPYRUc/0.jpg,Stella,스텔라 (Stellar) - 마리오네트 (Marionette) MV ,Marionette,,9,0,0%,FALSE,TRUE,,,,
https://www.youtube.com/watch?v=zEVd9pSG85Q,zEVd9pSG85Q,http://img.youtube.com/vi/zEVd9pSG85Q/0.jpg,2NE1,2NE1 - FALLING IN LOVE M/V ,Falling in Love,,5,2,30%,FALSE,TRUE,,,,
https://www.youtube.com/watch?v=qIt6KCwlFPw,qIt6KCwlFPw,http://img.youtube.com/vi/qIt6KCwlFPw/0.jpg,Taeyang,TAEYANG - WEDDING DRESS M/V [HD] ,Wedding Dress,,1,0,20%,FALSE,TRUE,,,,
https://www.youtube.com/watch?v=ouR4nn1G9r4,ouR4nn1G9r4,http://img.youtube.com/vi/ouR4nn1G9r4/0.jpg,"High4, IU","[MV] HIGH4, IU(하이포, 아이유) _ Not Spring, Love, or Cherry Blossoms(봄,사랑,벚꽃 말고) ","Not Spring, Love, or Cherry Blossoms",,0,7,10%,TRUE,TRUE,,,,
https://www.youtube.com/watch?v=jeqdYqsrsA0,jeqdYqsrsA0,http://img.youtube.com/vi/jeqdYqsrsA0/0.jpg,IU,IU (아이유) _ Good Day (좋은 날) _ MV ,Good Day,,3,6,10%,FALSE,TRUE,,,,
https://www.youtube.com/watch?v=doFK7Eanm3I,doFK7Eanm3I,http://img.youtube.com/vi/doFK7Eanm3I/0.jpg,G-Dragon,G-DRAGON - 니가 뭔데 (WHO YOU?) M/V ,Who Are You?,,0,2,0%,FALSE,FALSE,,,,
https://www.youtube.com/watch?v=MCEcWcIww5k,MCEcWcIww5k,http://img.youtube.com/vi/MCEcWcIww5k/0.jpg,Ailee,[MV] Ailee(에일리) _ I will show you(보여줄게) ,I Will Show You,,7,3,0%,TRUE,TRUE,,,,
https://www.youtube.com/watch?v=R1-BTf3_Mys,R1-BTf3_Mys,http://img.youtube.com/vi/R1-BTf3_Mys/0.jpg,AOA,AOA - 흔들려 (Confused) M/V ,Confused,,9,0,0%,FALSE,TRUE,,,,
https://www.youtube.com/watch?v=MbdT7DIn1lM,MbdT7DIn1lM,http://img.youtube.com/vi/MbdT7DIn1lM/0.jpg,T-ARA,T-ARA - Cry Cry (Japanese ver.) ,Cry Cry,,6,1,0%,FALSE,FALSE,11/6/2014,"46,578",90,3
